zipcode,lat,lng,state,city,avg2019,avg2020
13459,42.775008,-74.588678,NY,Sharon,121302.3333,126820.5833
12521,42.171335,-73.650487,NY,Taghkanic,303840.75,311449.8333
72658,36.159705,-92.327173,AR,Norfork,154547,160099.9167
92242,34.163216,-114.319121,CA,Earp,86399.5,95152.5
18053,40.71923,-75.704117,PA,Heidelberg Township,254639.8333,264980.1667
14814,42.155636,-76.9593,NY,Town of Big Flats,181797.1667,186036.3333
23410,37.63784,-75.736904,VA,Melfa,190460.9167,188299.25
37726,36.204182,-84.830473,TN,Deer Lodge,96939.75,104721.4167
81131,37.865412,-105.679141,CO,Crestone,204700,217352.3333
55706,47.72136,-91.961607,MN,Babbitt,82784.16667,88692.41667
41219,37.926112,-82.905328,KY,Flatgap,75055.08333,70528.16667
42160,37.119712,-86.004268,KY,Park City,102211.25,106145.5833
45306,40.459234,-84.187139,OH,Botkins,166260.25,172742.4167
4493,45.236824,-68.524576,ME,Enfield,113698.75,120051.1667
4971,44.92968,-69.391278,ME,St Albans,160820.75,162216.9167
19373,39.901133,-75.533485,PA,Thornbury Township,583525.5833,604937.1667
5828,44.437504,-72.124822,VT,Danville,189292,199532.75
22454,37.844032,-76.833646,VA,Dunnsville,194391.25,196743.1667
13416,43.187371,-74.970659,NY,Town of Newport,130400.3333,134513
11965,41.096081,-72.2884,NY,Town of Shelter Island,1348530.083,1342777.5
15469,40.009815,-79.418399,PA,Springfield Township,152000.5,153113.4167
62347,39.870093,-91.088955,IL,Liberty,115510.5833,117318.0833
78055,29.830348,-99.331352,TX,Medina,217628.4167,235927.9167
74727,34.018744,-95.858764,OK,Boswell,67202.25,70109.91667
14544,42.756251,-77.243735,NY,Rushville,185089,190015
96765,21.911192,-159.477967,HI,Koloa,568436,616493.3333
61924,39.786183,-87.663252,IL,Chrisman,60193.58333,60312.33333
37892,36.555696,-84.357644,TN,Winfield,79294.08333,85901.83333
14427,42.621589,-78.053905,NY,Town of Castile,103939.3333,108170.9167
29001,33.786644,-80.174065,SC,Alcolu,102415.5833,103126.6667
85337,32.964032,-112.704343,AZ,Gila Bend,118898.4167,142192.25
87036,34.397914,-106.243612,NM,Mountainair,100421.75,100468.0833
62926,37.366678,-89.131409,IL,Dongola,75009,74309.58333
57212,44.378729,-97.139135,SD,Arlington,178034.75,188764.25
91916,32.887989,-116.621354,CA,Descanso,442664.4167,454206.5833
86332,34.320536,-112.632932,AZ,Kirkland,197693.5833,215445.8333
49011,42.110137,-85.218699,MI,Athens,109597.6667,122852.5
96796,22.094055,-159.718749,HI,Waimea,481265.5,508625.4167
46939,40.992876,-86.400545,IN,Kewanna,98233.91667,102016.75
46070,40.335565,-85.662341,IN,Summitville,103140.1667,113493.75
12859,43.171875,-73.920872,NY,Greenfield Center,237257.9167,247686.8333
10984,41.202903,-74.022265,NY,Thiells,430547.75,435884
13409,42.976475,-75.595112,NY,Town Of Stockbridge,108832.9167,111944.9167
50276,41.862012,-93.926489,IA,Woodward,169390.8333,172043.0833
23898,36.838263,-76.86187,VA,Zuni,230224.9167,232424.75
28510,34.987612,-76.804461,NC,Minnesott Beach,218054.0833,224340.1667
98303,47.157405,-122.693536,WA,Graham,306283.4167,343581.75
61491,41.054464,-89.730734,IL,Wyoming,74340.33333,75233
